cycle,asteroid_id,reduced_chi2,peak_power,period_(hr),amplitude,num_observations
2,100007,2.518109490314613,0.5153836063418576,622.9972152941505,2.4129911654165337,259
2,100012,0.15574847070908374,0.043144682215854505,372.6483952565673,0.12266010688734585,669
2,100035,0.35180175209705905,0.13704934188891754,55.85673219047679,0.2839303232215764,392
2,100052,0.5956539668537804,0.1585447177726483,4.681720056288477,0.3927437216139582,301
2,100063,1.218270553919425,0.47799987635058566,64.25532648232773,1.2800078417836591,93
2,100075,0.22286663436535936,0.12101043314164574,119.1587910110718,0.18328150037466173,223
2,100089,0.7979522628990547,0.47668223685928124,12.16043225908791,1.0756391381617831,43
2,100097,0.26553113267573974,0.3584304832569732,111.04851149127418,0.641921013632536,118
2,100124,0.38738831668285084,0.3628416911383066,41.807085339284555,0.5552433252083162,90
2,100179,0.2565171618074051,0.14199486960226648,19.973997563663975,0.37681115763736805,151
2,10020,0.104330518700782,0.08362040435189198,44.29435609887763,0.09719978765327397,464
2,10021,0.07239423972490426,0.32383826790223136,24.593471487539517,0.22102309986214497,61
2,100275,0.4806808585394047,0.8519510807009959,35.71718445767159,3.4457468626208696,25
2,100278,1.2308809026734564,0.5479551048835682,357.9699827522596,1.9669307601730592,143
2,100285,1.9313116177096612,0.5076686716072474,63.31711132944267,1.8599924261343022,153
2,100292,0.28660780983237544,0.18383085754947315,30.36858757805405,0.3414288439143611,327
2,100306,5.763136533659408e-06,0.64830878342772,17.421674019131515,0.007060974241188234,18
2,10031,0.5460769908396408,0.18190372930250873,103.3006754068803,0.37599765517260497,254
2,10032,0.24286627394085647,0.45715086209737116,5.443403978460555,0.33844660212802236,536
2,100365,0.17059565832728174,0.6629588701427119,43.436381837770256,1.121546579149146,41
2,100396,0.2779675503147039,0.19404952010279727,29.050078035584885,0.4766596918977033,182
2,100430,0.5677767988358188,0.34398746666047064,16.859251714348822,0.9014114568834843,101
2,100432,0.2216394510565747,0.3043300963756705,7.491370395847997,0.536321447926122,115
2,100449,1.9198360428724703,0.31747373981238536,89.54308499431272,1.071078990070566,236
2,100461,2.5547183258865185,0.5110411750748372,553.3866776385644,2.4459977380972884,77
2,100474,1.77670675524794,0.40606701863973915,42.12716035198946,1.5904983984760008,155
2,100479,1.2248426617404877,0.2858424018563143,977.019633104559,0.7956264729308051,301
2,10048,0.19191933841121092,0.24264583784447188,21.041347091363402,0.2874097588223954,158
2,100484,0.16392586171762397,0.1944099602213454,23.370408072801634,0.34293737930870627,143
2,100488,0.4475375333999367,0.6624448050781296,21.599706355861976,1.3313930842532953,38
2,10049,0.08608630391372983,0.5678935109291802,30.73876695641099,0.334420689767823,143
2,1005,0.07975884892162549,0.5303702557126289,8.776556890912142,0.13253458378638427,235
2,100513,0.1602116722564478,0.05836106073066545,9.979418267668532,0.14692745625379544,608
2,100521,0.8285940499382777,0.39250221425887794,100.5528912167011,1.291674411414962,112
2,100529,2.388597193940223,0.5464847927850581,17.55517662311887,1.789940233279994,99
2,100550,0.12415635551639194,0.27598946920826894,128.20307593178785,0.3501419722386201,62
2,10058,0.858674124482967,0.5062165615991522,71.83653751892852,1.114583342259789,157
2,100591,1.0664151184836816,0.32012989499007943,63.56770552639702,0.9742703834648525,130
2,100596,0.23166118509592648,0.16522212749303072,50.115281923895154,0.3371459911492414,258
2,100638,0.637809035636475,0.1961058131374748,13.046418464714646,0.567487130357125,298
2,100643,1.2206750648587747,0.3528307512568025,165.4573273796647,1.117523729037055,142
2,100664,0.2335395305454235,0.06736430376195386,60.2533507540763,0.20350704664060348,388
2,100686,0.2765388473693523,0.18074512262400308,36.01284467418242,0.40454831409071623,109
2,100704,0.11445722278842581,0.08740037414453002,1231.9775404053507,0.11170180482986947,542
2,100706,0.6109155160189378,0.5849246269522487,609.4102931676657,1.6771688969986096,79
2,10071,1.9012348156051904,0.3364203093115911,561.4556877801415,1.5405936105714293,280
2,100716,0.47510320137778317,0.45571455259723725,14.217024636194225,0.9069040503028853,38
2,100723,0.1616294320272194,0.30603289764332203,195.91432486588934,0.5251903690739415,78
2,100741,0.15891848649930893,0.24886800822222774,7.664446718314262,0.3322832227269261,173
2,100759,0.2522807871577991,0.41306029723370496,669.9386185299354,0.76986773824507,132
